NORMALIZED_LAT,NORMALIZED_LONG,Tester, Location_ID,Census 2010 Designation, Date, Time, Provider, Operator, Network,Round6_Coverage, Latitude, Longitude, Device ID, Client Type, ePktMin, ePktMax, ePktAvg, ePktLoss, wPktMin, wPktMax, wPktAvg, wPktLoss, wUDP Jitter1, wUDP Loss1, wUDP Period1, wUDP Jitter2, wUDP Loss2, wUDP Period2, wUDP Jitter3, wUDP Loss3, wUDP Period3, eUDP Jitter1, eUDP Loss1, eUDP Period1, eUDP Jitter2, eUDP Loss2, eUDP Period2, eUDP Jitter3, eUDP Loss3, eUDP Period3, wUDP Jitter4, wUDP Loss4, wUDP Period4, eUDP Jitter4, eUDP Loss4, eUDP Period4,wTCP_UP1, wTCP_DOWN1, eTCP_UP1, eTCP_DOWN1, wTCP_UP2, wTCP_DOWN2, eTCP_UP2, eTCP_DOWN2
41.47987175,-120.5245,Tester 3,1003,Tribal, 10/02/2012, 16:39:11,T-Mobile, , UNKNOWN,Out,41.478052,-120.524345,359605043208266, Phone, no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
41.47987175,-120.5245,Tester 3,1003,Tribal, 10/02/2012, 16:37:03,Verizon, , NA,In,41.47806,-120.524342, WBBDTest3, Netbook,197,257,223,0,77,110,91,0,9.54,0,1,11.587,0,1,7.126,0,1,14.504,0,1,12.486,0,1,12.87,0,1,8.295,0,5,15.255,0,5,1033.5,1237,1027,1355,1031.8,2228,1048,1466
41.47987175,-120.5245,Tester 3,1003,Tribal, 10/02/2012, 16:40:37,Verizon, Verizon, EHRPD,In,41.47799332,-120.5244237,99000024385563, Phone,217.232,408.782,294.942,0,84.136,177.312,120.592,0,12.8,0,1,10.719,0,1,8.724,0,1,16.758,0,1,19.306,0,1,14.074,0,1,13.752,0,5,17.119,0,5,1090,1840,1124,1583,1123,1110,1049,1601
39.02008325,-121.3444,Tester 1,1004,Tribal, 10/09/2012, 13:28:45,AT&T, , NA,In,39.020097,-121.344385, WBBDTest11, Netbook,136,174,145,0,65,143,79,0,6.897,0,1,11.739,0,1,10.79,0,1,17.453,0,1,8.566,0,1,10.96,0,1,9.561,0.4,5,6.343,0,5,821,1269,1028,2117,974,2152,936,2116
39.02008325,-121.3444,Tester 1,1004,Tribal, 10/09/2012, 13:19:55,AT&T, AT&T, HSPA,In,39.0201258,-121.3444409,359691045811109, Phone,146.193,1249.993,287.26,0,1231.588,10027.133,5621.532,0,36.724,0,1,52.581,0,1,49.147,0,1,55.06,0,1,55.041,0,1,26.832,0,1,8.714,0,5,7.664,0,5,146.6,1086,230.8,827,290.2,548,114.8,0
39.02008325,-121.3444,Tester 1,1004,Tribal, 10/09/2012, 13:24:27,Sprint, , NA,Out,39.0201,-121.344385, WBBDTest11, Netbook,155,199,167,0,67,147,99,0,11.969,0,1,9.397,0,1,11.269,0,1,14.464,0,1,9.393,0,1,13.981,0,1,16.896,0,5,20.63,0,5,1066,718,1042,710,1082,756,952,751.5
39.02008325,-121.3444,Tester 1,1004,Tribal, 10/09/2012, 13:19:40,Sprint, Sprint, EVDO,Out,39.020095,-121.344422, A100001BAA3FC9, Phone,267.273,435.73,305.911,0,85.174,451.203,146.49,0,20.159,0,1,12.076,0,1,15.72,0,1,14.318,0,1,17.711,0,1,16.965,0,1,21.277,0,5,21.588,0,5,561.6,204.2,567.8,230.2,290.7,81.8,648,129.1
39.02008325,-121.3444,Tester 1,1004,Tribal, 10/09/2012, 13:33:47,T-Mobile, , NA,In,39.020112,-121.344393, WBBDTest11, Netbook,438,573,508,0,190,3274,866,30,88.56,0,1,89.522,0,1,82.18,0,1,91.978,0,1,82.546,0,1,90.622,0,1, NA, NA,5, NA, NA,5, timeout, timeout, connect_error2, connect_error2,71.3,0, connect_error2, connect_error2
39.02008325,-121.3444,Tester 1,1004,Tribal, 10/09/2012, 13:20:20,T-Mobile, T-Mobile, GPRS,In,39.020095,-121.344422,359605043237836, Phone,370.27,543.854,473.178,0,323.456,857.635,436.84,0,64.821,0,1,67.448,2,1,66.304,2,1,63.452,0,1,65.749,0,1,64.887,2,1,66.724,0,5, NA, NA,5,66,0, connect_error2, connect_error2,83.9,0,85.4,0
39.02008325,-121.3444,Tester 1,1004,Tribal, 10/09/2012, 13:20:05,Verizon, , NA,In,39.020095,-121.344422, WBBDTest11, Netbook,178,246,202,0,68,279,120,0,10.331,0,1,13.336,0,1,14.598,0,1,12.76,0,1,10.527,0,1,13.23,0,1,8.214,1.2,5,9.258,0,5,877,576,748,822,662.7,635,238.5,699
39.02008325,-121.3444,Tester 1,1004,Tribal, 10/09/2012, 13:25:01,Verizon, Verizon, EHRPD,In,39.020095,-121.344422,99000024385562, Phone,189.002,278.854,221.736,0,75.152,110.529,90.933,0,8.218,0,1,13.836,0,1,19.084,0,1,10.157,0,1,12.607,0,1,10.798,0,1,8.805,0,5,12.361,0,5,832.4,410.7,994,418.6,742,485,973,259.9
38.8406825,-121.3097,Tester 1,1005,Tribal, 10/09/2012, 11:45:55,AT&T, , NA,In,38.840468,-121.309885, WBBDTest11, Netbook,123,188,150,0,50,97,66,0,9.277,0,1,8.892,0,1,13.654,0,1,14.466,0,1,11.996,0,1,13.682,0,1,13.388,0,5,6.372,0,5,1202,1800,1229,1639,1235,1995,1278,1732
38.8406825,-121.3097,Tester 1,1005,Tribal, 10/09/2012, 11:56:13,AT&T, AT&T, LTE,In,38.84059537,-121.3097903,359691045811109, Phone,112.041,215.596,189.085,0,27.194,144.025,118.416,0,7.551,0,1,11.623,0,1,8.188,3.9,1,9.087,2,1,12.352,0,1,12.906,2,1,8.396,0.8,5,12.706,0,5,6677,12125,4986,8975,6948,12708,6096,10431
38.8406825,-121.3097,Tester 1,1005,Tribal, 10/09/2012, 12:01:33,Sprint, , NA,In,38.840468,-121.309883, WBBDTest11, Netbook,158,476,218,0,91,662,253,0,14.415,0,1,21.335,0,1,22.064,0,1,19.525,0,1,11.057,0,1,15.341,0,1,18.537,0,5,14.247,0,5,857.1,226.4,710.9,207,1009,148.7,952,188.5
38.8406825,-121.3097,Tester 1,1005,Tribal, 10/09/2012, 11:45:10,Sprint, Sprint, EVDO,In,38.8400656,-121.3094527, A100001BAA3FC9, Phone,159.089,229.705,183.529,0,78.217,239.014,123.355,0,23.929,0,1,18.797,0,1,16.212,0,1, NA, NA,1,10.345,0,1,12.693,0,1,9.401,0,5,10.168,0,5,588.7,495,715,421,756,425.3,641,435.8
38.8406825,-121.3097,Tester 1,1005,Tribal, 10/09/2012, 11:57:28,T-Mobile, , NA,In,38.840453,-121.309832, WBBDTest11, Netbook,109,1279,357,0,35,1355,301,0,15.287,0,1,4.378,0,1,3.624,0,1,3.177,0,1,3.744,0,1,12.677,0,1,6.49,0,5,5.892,0,5,2504,9292,1569,7737,2354,8898,2457,6125
38.8406825,-121.3097,Tester 1,1005,Tribal, 10/09/2012, 11:46:00,T-Mobile, T-Mobile, HSPA,In,38.840532,-121.309848,359605043237836, Phone,125.854,1383.331,429.769,0,67.047,2274.261,661.526,0,13.02,0,1,7.571,0,1,2.879,0,1,7.762,0,1,6.97,0,1,5.115,0,1,1.162,0,5,7.577,0,5,1343,11322,218.6,370.9,1073,226.5,178.4,0
38.8406825,-121.3097,Tester 1,1005,Tribal, 10/09/2012, 12:07:34,Verizon, , NA,In,38.840558,-121.309863, WBBDTest11, Netbook,108,133,119,0,32,55,41,0,7.912,0,1,10.795,0,1,6.274,0,1,11.54,0,1,11.746,0,1,8.396,0,1,9.996,0,5,10.583,0,5,9747,11757,9794,8895,10000,11868,10117,8613
38.8406825,-121.3097,Tester 1,1005,Tribal, 10/09/2012, 11:46:09,Verizon, Verizon, 1xRTT,In,38.8400656,-121.3094527,99000024385562, Phone,149.813,339.953,192.548,0,67.629,285.224,127.55,0,12.207,0,1,19.595,0,1,10.22,0,1,11.892,0,1,15.067,0,1,8.998,0,1,14.686,0,5,18.718,0,5,537.7,101.1,738,163.2,180.1,229.7,693,203.7
33.656267,-116.196573,Tester 8,1006,Tribal, 10/08/2012, 14:35:27,AT&T, , NA,In,33.656,-116.197, WBBDTest8, Netbook,150,313,198,0,77,132,96,0,20.465,0,1,13.198,0,1,18.719,0,1,12.65,3.9,1,18.563,0,1,12.019,0,1,9.674,0.4,5,16.685,0,5,891,1790,1011,1703,603.7,3209,720.7,737.8
33.656267,-116.196573,Tester 8,1006,Tribal, 10/08/2012, 14:09:59,AT&T, AT&T, UMTS,In,33.656,-116.197,359691045708495, Phone,161.819,508.104,237.021,0,95.987,475.934,180.341,0,12.89,0,1,7.335,0,1,7.724,0,1,11.068,0,1,8.23,0,1,13.306,0,1,9.221,0,5,4.585,0,5,1134,3307,1068,3076,1164,1948,1134,4138
33.656267,-116.196573,Tester 8,1006,Tribal, 10/08/2012, 14:09:44,Sprint, , NA,In,33.656,-116.197, WBBDTest8, Netbook, NA, NA, NA,100, NA, NA, NA,100, NA, NA,1, NA, NA,1, NA, NA,1, NA, NA,1, NA, NA,1, NA, NA,1, NA, NA,5, NA, NA,5, timeout, timeout, timeout, timeout, timeout, timeout, timeout, timeout
33.656267,-116.196573,Tester 8,1006,Tribal, 10/08/2012, 14:28:42,Sprint, Sprint, 1xRTT,In,33.656,-116.197, A100001BAA3FC1, Phone,128.296,458.282,229.22,0,105.378,292.999,203.598,0,17.776,0,1,20.082,0,1,18.107,0,1,17.136,0,1,13.909,0,1,15.974,0,1,21.434,0.4,5,21.136,0,5,699.3,344.1,665,409.3,706,397.3,770,390.3
33.656267,-116.196573,Tester 8,1006,Tribal, 10/08/2012, 14:30:25,T-Mobile, , NA,In,33.656,-116.197, WBBDTest8, Netbook,105,1276,365,0,48,1605,318,0,12.043,0,1,4.632,0,1,3.411,0,1,5.51,0,1,5.133,0,1,3.2,0,1,3.561,0,5,6.491,0,5,2340,4779,1811,4596,1617,5263,1490,4535
33.656267,-116.196573,Tester 8,1006,Tribal, 10/08/2012, 14:09:27,T-Mobile, T-Mobile, HSPA,In,33.656,-116.197,359605043208118, Phone,97.107,1450.012,436.248,0,42.48,1259.491,324.276,0,18.67,0,1,3.544,0,1,3.51,0,1,10.688,0,1,10.354,0,1,7.176,0,1,3.572,0,5,8.769,0,5,1876,11131,1578,8549,1576,8023,1961,8155
33.656267,-116.196573,Tester 8,1006,Tribal, 10/08/2012, 14:26:54,Verizon, , NA,In,33.656,-116.197, WBBDTest8, Netbook,148,221,165,0,44,55,51,0,10.863,0,1,9.293,0,1,14.36,0,1,16.903,0,1,15.832,0,1,18.671,0,1,12.768,0,5,12.127,0,5,4968,10516,3977,3740,4992,4996,5102,5660
33.656267,-116.196573,Tester 8,1006,Tribal, 10/08/2012, 14:09:34,Verizon, Verizon, LTE,In,33.656,-116.197,99000024381651, Phone,143.109,177.95,160.334,0,44.75,56.542,51.638,0,7.696,0,1,14.794,0,1,19.279,0,1,15.789,0,1,26.409,0,1,12.465,0,1,18.11,0,5,16.397,0,5,6008,10752,3750,5447,5664,8300,4533,3845
32.9723865,-116.83,Tester 8,1007,Tribal, 10/19/2012, 11:35:28,AT&T, , NA,In,32.972395,-116.829813, WBBDTest8, Netbook,158,233,180,0,86,135,101,0,10.49,0,1,7.243,0,1,10.694,0,1,14.644,0,1,18.144,0,1,14.762,0,1,13.043,0,5,15.495,0,5,1235,2237,1214,2795,1270,2807,1246,3633
32.9723865,-116.83,Tester 8,1007,Tribal, 10/19/2012, 11:43:04,AT&T, AT&T, HSPA,In,32.9723797,-116.8298279,359691045708495, Phone,164.901,225.393,184.858,0,84.358,150.893,118.394,0,11.17,0,1,8.62,0,1,11.292,2,1,12.772,2,1,5.865,0,1,6.253,0,1,12.475,0,5,8.025,0,5,1191,2212,1204,3338,1201,3491,1211,3307
32.9723865,-116.83,Tester 8,1007,Tribal, 10/19/2012, 11:48:55,Sprint, , NA,Out,32.972395,-116.829813, WBBDTest8, Netbook,145,901,274,0,85,273,128,0,12.379,0,1,20.335,0,1,12.398,0,1,13.88,0,1,13.598,0,1,10.823,0,1,21.399,0,5,27.342,0,5,423.4,297.6,438.7,514.6,521.5,428.8,378,310.7
32.9723865,-116.83,Tester 8,1007,Tribal, 10/19/2012, 11:37:28,Sprint, Sprint, EVDO,Out,32.97242224,-116.8298471, A100001BAA3FC1, Phone,186.768,333.129,246.878,0,224.67,886.077,368.176,0,16.593,0,1,18.175,0,1,13.887,0,1,16.925,0,1,12.192,2,1,16.273,0,1,19.437,0.8,5,22.37,0,5,195.6,188.2,242.4,158.9,187.8,85.1,150.2,104.5
32.9723865,-116.83,Tester 8,1007,Tribal, 10/19/2012, 11:39:54,T-Mobile, , NA,In,32.972403,-116.82982, WBBDTest8, Netbook,132,1626,387,0,103,1686,382,0,20.844,0,1,6.61,0,1,9.037,0,1,5.466,0,1,4.682,0,1,8.376,0,1,6.067,0,5,12.212,0.8,5,859.1,572,1022,626,872.6,275,868,286.3
32.9723865,-116.83,Tester 8,1007,Tribal, 10/19/2012, 11:36:39,T-Mobile, T-Mobile, EDGE,In,32.972366,-116.829833,359605043208118, Phone,132.232,1359.467,430.45,0,91.156,1547.425,430.743,0,13.432,0,1,4.026,0,1,6.211,0,1,1.617,0,1,1.071,0,1,10.88,0,1,4.648,0,5,0.703,0,5,809,278.6,767,298.5,787,267.1,760,307.4
32.9723865,-116.83,Tester 8,1007,Tribal, 10/19/2012, 11:44:34,Verizon, , NA,In,32.972398,-116.829822, WBBDTest8, Netbook,109,145,122,0,47,68,57,0,7.999,0,1,9.765,0,1,8.645,0,1,10.45,0,1,11.605,2,1,11.043,0,1,10.126,0,5,12.707,0,5,527,653,361.6,696,582.5,731,682,825
32.9723865,-116.83,Tester 8,1007,Tribal, 10/19/2012, 11:36:16,Verizon, Verizon, EHRPD,In,32.972366,-116.829833,99000024381651, Phone,135.234,280.488,172.908,0,91.829,151.552,104.865,0,11.634,0,1,10.551,0,1,16.483,0,1,20.045,0,1,21.284,0,1,26.376,0,1,14.049,0,5,19.398,0,5,280.9,278.1,188.7,318.1,252.4,314.8,347.5,196.6
33.65276625,-116.1813988,Tester 8,1008,Tribal, 09/25/2012, 12:20:43,AT&T, , NA,In,37.818468,-118.478258, WBBDTest8, Netbook,164,216,181,0,91,133,108,0,10.065,0,1,8.948,0,1,6.058,0,1,9.9,0,1,8.976,0,1,8.562,0,1,10.265,0.4,5,8.56,0,5,635.1,2810,652,2580,901,3875,731,2409
33.65276625,-116.1813988,Tester 8,1008,Tribal, 09/25/2012, 12:28:01,AT&T, AT&T, HSPAP,In,37.818468,-118.478258,359691045708495, Phone,151.412,186.571,161.974,0,74.073,130.566,89.43,0,16.379,0,1,19.105,0,1,18.996,2,1,27.397,0,1,21.835,0,1,14.755,0,1,10.24,0,5,6.06,0,5,1857,2905,1391,4203,1994,3376,1627,3334
33.65276625,-116.1813988,Tester 8,1008,Tribal, 09/25/2012, 12:34:42,Sprint, , NA,In,37.818465,-118.478267, WBBDTest8, Netbook, no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
33.65276625,-116.1813988,Tester 8,1008,Tribal, 09/25/2012, 12:28:04,Sprint, , UNKNOWN,In,37.81852484,-118.4781611, A100001BAA3FC1, Phone, no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
33.65276625,-116.1813988,Tester 8,1008,Tribal, 09/25/2012, 12:37:49,T-Mobile, , NA,In,37.818465,-118.478267, WBBDTest8, Netbook, no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
33.65276625,-116.1813988,Tester 8,1008,Tribal, 09/25/2012, 12:27:38,T-Mobile, , UNKNOWN,In,37.818468,-118.478258,359605043208118, Phone, no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
33.65276625,-116.1813988,Tester 8,1008,Tribal, 09/25/2012, 12:36:40,Verizon, , NA,In,37.818465,-118.478267, WBBDTest8, Netbook, no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
33.65276625,-116.1813988,Tester 8,1008,Tribal, 09/25/2012, 12:29:00,Verizon, Searching, UNKNOWN,In,37.818468,-118.478258,99000024381651, Phone, no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service,no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service, no effective service
